ID;year;pub;r;N;Var;SE
1;1980;0;-0,1;7;0,16335;0,40416581
2;2005;1;0,23;76;0,01195998;0,10936169
4;1968;0;-0,05;155;0,00646108;0,08038084
5;1968;0;0,02;45;0,02270909;0,15069537
6;1969;1;-0,09;31;0,03279552;0,18109534
7;1969;1;0,26;37;0,02414916;0,1554
9;1970;0;-0,07;79;0,01269518;0,11267289
10;1987;1;0,04;151;0,00664535;0,08151902
11;1987;1;-0,01;151;0,00666533;0,08164149
12;1993;1;0,12;64;0,01541916;0,12417393
13;1991;0;0,03;318;0,0031489;0,05611505
14;1988;1;0,07;288;0,00345026;0,0587389
15;1988;1;-0,05;31;0,03316687;0,18211775
16;1966;1;0,13;500;0,00193685;0,0440096
17;1966;1;0,03;500;0,0020004;0,04472586
18;1966;1;0,21;500;0,00183115;0,04279196
19;1966;1;0,28;500;0,0017021;0,04125648
