"ID";"year";"r";"N";"z.r";"se.z";"snd";"prec"
1;1980;-0.1;7;-0.100335347731076;0.5;-0.200670695462151;2
2;2005;0.23;76;0.234189466759367;0.117041147196131;2.00091568110595;8.54400374531753
4;1968;-0.05;155;-0.0500417292784913;0.0811107105653813;-0.616955873394229;12.328828005938
5;1968;0.02;45;0.0200026673068496;0.154303349962092;0.129632100092213;6.48074069840786
6;1969;-0.09;31;-0.0902441878561468;0.188982236504614;-0.477527356672719;5.29150262212918
7;1969;0.26;37;0.266108406873654;0.171498585142509;1.5516653192942;5.8309518948453
9;1970;-0.07;79;-0.0701146706543252;0.114707866935281;-0.611245527683681;8.71779788708135
10;1987;0.04;151;0.0400213538367683;0.0821994936526786;0.486880783060202;12.1655250605964
11;1987;-0.01;151;-0.0100003333533348;0.0821994936526786;-0.121659306024313;12.1655250605964
12;1993;0.12;64;0.120581028408444;0.128036879932896;0.941767938047542;7.81024967590665
13;1991;0.03;318;0.0300090048631265;0.0563436169819011;0.532607000945042;17.7482393492988
14;1988;0.07;288;0.0701146706543252;0.0592348877759092;1.18367187458133;16.8819430161341
15;1988;-0.05;31;-0.0500417292784913;0.188982236504614;-0.264795941693016;5.29150262212918
16;1966;0.13;500;0.130739850028878;0.0448561304016257;2.91464842950742;22.293496809608
17;1966;0.03;500;0.0300090048631265;0.0448561304016257;0.66900565417562;22.293496809608
18;1966;0.21;500;0.21317134656486;0.0448561304016257;4.75233473454353;22.293496809608
19;1966;0.28;500;0.287682072451781;0.0448561304016257;6.41343936438518;22.293496809608
